case,component,quantity,value,unit,sink
volt_reg_cda_5.4,brake resistor,brake_resistor_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,brake resistor,brake_resistor_peak_kW,0,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,brake resistor,resistor_blower_bus_load_kW,1.45,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,pack heater,pack_heater_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cda_5.4,friction brakes,friction_brake_kWh_per_cycle,0.568713,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,run,duration_s_median,6577.05,s,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,engine,engine_rejection_avg_kW,63.1345,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,engine,engine_radiator_package_avg_kW,30.3046,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,engine,engine_exhaust_avg_kW,30.9359,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,generator+rectifier,generator_rectifier_loss_avg_kW,2.12305,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,traction chain,traction_chain_loss_avg_kW,3.80463,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,pack,pack_I2R_heat_kWh_per_cycle,0.534895,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,pack,pack_I2R_heat_avg_kW,0.292779,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,brake resistor,brake_resistor_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,brake resistor,brake_resistor_peak_kW,0,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,brake resistor,resistor_blower_bus_load_kW,1.45,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,pack heater,pack_heater_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_alt2000m_45C,friction brakes,friction_brake_kWh_per_cycle,0.666482,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,run,duration_s_median,6577.05,s,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,engine,engine_rejection_avg_kW,77.2066,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,engine,engine_radiator_package_avg_kW,37.0592,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,engine,engine_exhaust_avg_kW,37.8312,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,generator+rectifier,generator_rectifier_loss_avg_kW,2.59832,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,traction chain,traction_chain_loss_avg_kW,4.24784,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,pack,pack_I2R_heat_kWh_per_cycle,1.5606,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,pack,pack_I2R_heat_avg_kW,0.854207,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,brake resistor,brake_resistor_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,brake resistor,brake_resistor_peak_kW,0,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,brake resistor,resistor_blower_bus_load_kW,1.45,kW,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,pack heater,pack_heater_kWh_per_cycle,0,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
volt_reg_cold_minus10C,friction brakes,friction_brake_kWh_per_cycle,0.615148,kWh,"engine rejection -> HT radiator package + exhaust; generator + rectifier -> LT loop (WS4 ledger line); traction chain -> WS2's LT loop; pack I2R -> WS3's pack loop; resistor -> FORCED AIR (R15: not the pack loop); friction -> brakes and air"
descent_resistor_sizing,brake resistor,brake_resistor_peak_kW,46.9189,kW,"forced air (R15); WS6 packages the duct and the blower"
descent_resistor_sizing,brake resistor,brake_resistor_kWh,4.4962,kWh,"forced air (R15); WS6 packages the duct and the blower"
descent_resistor_sizing,run,duration_s,443.5,s,"forced air (R15); WS6 packages the duct and the blower"
descent_resistor_sizing,brake resistor,resistor_blower_bus_load_kW,1.45,kW,"forced air (R15); WS6 packages the duct and the blower"
descent_resistor_sizing,pack,pack_I2R_heat_kWh,0.158934,kWh,"forced air (R15); WS6 packages the duct and the blower"
descent_resistor_sizing,run,t_cell_peak_C,47.2348,C,"forced air (R15); WS6 packages the duct and the blower"
descent_resistor_lost_friction,friction brakes,friction_brake_kWh,8.10156,kWh,"service brakes and air. WS6/WS7 own the fade question."
descent_resistor_lost_friction,friction brakes,friction_brake_mean_kW,19.9765,kW,"service brakes and air. WS6/WS7 own the fade question."
descent_resistor_lost_friction,friction brakes,friction_brake_peak_kW,21.8329,kW,"service brakes and air. WS6/WS7 own the fade question."
descent_resistor_lost_friction,run,duration_s,1460,s,"service brakes and air. WS6/WS7 own the fade question."
